name,dev0,dev1
Image_w1920_h1200_fn280.jpg,[782. 558.],[1058.   290.5]
Image_w1920_h1200_fn281.jpg,[780.  565.5],[1058.   301.5]
Image_w1920_h1200_fn282.jpg,[782.5 568. ],[1054.   304.5]
Image_w1920_h1200_fn283.jpg,[787.5 570.5],[1051.   309.5]
Image_w1920_h1200_fn284.jpg,[801.5 567.5],[1063.  325.]
Image_w1920_h1200_fn285.jpg,[829.5 563.5],[1087.  350.]
Image_w1920_h1200_fn286.jpg,[863.5 555.5],[1120.   383.5]
Image_w1920_h1200_fn287.jpg,[904.  547.5],[1160.5  421.5]
Image_w1920_h1200_fn288.jpg,[954.5 538. ],[1194.5  457. ]
Image_w1920_h1200_fn289.jpg,[998.  530.5],[1221.  486.]
Image_w1920_h1200_fn290.jpg,[1029.5  529. ],[1235.5  506.5]
Image_w1920_h1200_fn291.jpg,[1041.5  530. ],[1236.  517.]
Image_w1920_h1200_fn292.jpg,[1038.5  543. ],[1227.5  522. ]
Image_w1920_h1200_fn293.jpg,[1023.  561.],[1209.5  523. ]
Image_w1920_h1200_fn294.jpg,[1003.  576.],[1190.5  522. ]
Image_w1920_h1200_fn295.jpg,[984.5 587.5],[1172.   518.5]
Image_w1920_h1200_fn296.jpg,[969.5 597. ],[1155.   514.5]
Image_w1920_h1200_fn297.jpg,[952.  607.5],[1137.5  511.5]
Image_w1920_h1200_fn298.jpg,[943.5 616. ],[1124.  510.]
Image_w1920_h1200_fn299.jpg,[936.  624.5],[1109.5  510.5]
Image_w1920_h1200_fn300.jpg,[923.5 633.5],[1097.5  512. ]
Image_w1920_h1200_fn301.jpg,[913. 642.],[1084.5  511. ]
Image_w1920_h1200_fn302.jpg,[900.5 647. ],[1071.  507.]
Image_w1920_h1200_fn303.jpg,[884.5 652.5],[1058.5  501.5]
Image_w1920_h1200_fn304.jpg,[872.5 656.5],[1048.   496.5]
Image_w1920_h1200_fn305.jpg,[860.5 659. ],[1039.5  492.5]
Image_w1920_h1200_fn306.jpg,[850.  664.5],[1031.   486.5]
Image_w1920_h1200_fn307.jpg,[838.5 666.5],[1025.  480.]
Image_w1920_h1200_fn308.jpg,[827. 671.],[1018.   475.5]
Image_w1920_h1200_fn309.jpg,[814. 674.],[1014.5  472. ]
Image_w1920_h1200_fn310.jpg,[802. 680.],[1012.  471.]
Image_w1920_h1200_fn311.jpg,[787. 689.],[1007.5  476.5]
Image_w1920_h1200_fn312.jpg,[774. 695.],[1008.5  482.5]
Image_w1920_h1200_fn313.jpg,[763. 705.],[1010.   487.5]
Image_w1920_h1200_fn314.jpg,[750.5 709. ],[1012.5  492. ]
Image_w1920_h1200_fn315.jpg,[741.5 715. ],[1018.5  497.5]
Image_w1920_h1200_fn316.jpg,[737.5 719. ],[1026.5  504. ]
Image_w1920_h1200_fn317.jpg,[729.  722.5],[1038.   510.5]
Image_w1920_h1200_fn318.jpg,[723. 726.],[1048.   517.5]
Image_w1920_h1200_fn319.jpg,[719.5 728. ],[1058.  524.]
Image_w1920_h1200_fn320.jpg,[719. 727.],[1070.   526.5]
Image_w1920_h1200_fn321.jpg,[717. 725.],[1081.  527.]
Image_w1920_h1200_fn322.jpg,[718. 720.],[1093.5  524. ]
Image_w1920_h1200_fn323.jpg,[718.5 715. ],[1108.  521.]
Image_w1920_h1200_fn324.jpg,[718. 709.],[1122.   517.5]
Image_w1920_h1200_fn325.jpg,[718.5 709. ],[1138.  524.]
Image_w1920_h1200_fn326.jpg,[715.5 721. ],[1153.   546.5]
Image_w1920_h1200_fn327.jpg,[712. 745.],[1170.   587.5]
Image_w1920_h1200_fn328.jpg,[710.  782.5],[1186.5  650.5]
Image_w1920_h1200_fn329.jpg,[698. 833.],[1186.5  650.5]
Image_w1920_h1200_fn330.jpg,[691. 890.],[1186.5  650.5]
Image_w1920_h1200_fn331.jpg,[679. 951.],[1186.5  650.5]
Image_w1920_h1200_fn332.jpg,[ 673.5 1014.5],[1186.5  650.5]
Image_w1920_h1200_fn333.jpg,[ 667.5 1069.5],[1186.5  650.5]
Image_w1920_h1200_fn334.jpg,[ 664. 1112.],[1186.5  650.5]
Image_w1920_h1200_fn335.jpg,[ 659.5 1150.5],[1186.5  650.5]
Image_w1920_h1200_fn336.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn337.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn338.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn339.jpg,[ 659. 1184.],[1186.5  650.5]
